# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
KOI-4777,Confirmed,0.00107,0.00107,0.0,,,,0.0455,0.0027,0.0027,0.412,1e-06,1e-06,0.008,0.0003,0.0003,0.0,,,87.0,2.0,2.0,,2017,2022-06-10,,,,,,,,,,2454965.219,0.002,0.002,,,,,,,0.2,0.1,0.2,,,,83.0,83.0,0.0,1180.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KOI-4777,287.262500001,42.032222235,17.0,,,,,170.66,0.74,0.74,0.1,0.1,0.1,0.41,0.02,0.02,0.4,0.01,0.01,,3.5,1.5,1.5,3515.0,69.0,69.0,,,
KOI-55 b,Confirmed,0.0014,,,,,,0.068,,,0.240104,4e-06,4e-06,0.006,,,,,,65.0,,,5e-06,2011,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,Theoretical,,"KOI-55 b, 2MASS J19452546+4105339 b, KIC 5807616 b, Kepler-70 b, WISE J194525.47+410534.7 b",,KOI-55,296.356105,41.092755,14.87,,15.356,15.593,,1180.0,95.0,95.0,,,,0.5,0.0,0.0,0.2,0.01,0.01,B,0.0184,0.001,0.001,27730.0,270.0,270.0,,,"KOI-55, 2MASS J19452546+4105339, KIC 5807616, Kepler-70, WISE J194525.47+410534.7"
KOI-55 c,Confirmed,0.0021,,,,,,0.077,,,0.342887,1.3e-05,1.3e-05,0.0076,,,,,,65.0,,,6e-06,2011,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,,,"KOI-55 c, 2MASS J19452546+4105339 c, KIC 5807616 c, Kepler-70 c, WISE J194525.47+410534.7 c",,KOI-55,296.356105,41.092755,14.87,,15.356,15.593,,1180.0,95.0,95.0,,,,0.5,0.0,0.0,0.2,0.01,0.01,B,0.0184,0.001,0.001,27730.0,270.0,270.0,,,"KOI-55, 2MASS J19452546+4105339, KIC 5807616, Kepler-70, WISE J194525.47+410534.7"
KOI-984 b,Confirmed,0.0544,0.009,0.009,,,,0.384,0.0045,0.0045,4.2881785,3.5e-06,3.5e-06,0.0504,0.0006,0.0006,0.12,0.02,0.02,,,,,2017,2021-11-19,285.0,12.0,12.0,,,,,,,2454957.7837,0.0014,0.0014,,,,,,,0.83,0.01,0.01,,,,,,,1022.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,KOI-984,291.050000004,36.840000022,12.0,,,,,229.63,1.24,1.24,0.12,0.1,0.1,0.928,0.031,0.031,0.818,0.026,0.026,,,,,5295.0,150.0,150.0,,,
KPS-1 b,Confirmed,1.09,0.087,0.087,,,,1.03,0.13,0.13,1.706291,6e-05,6e-05,0.0269,0.001,0.001,0.0,,,83.2,0.9,0.9,,2018,2018-04-17,,,,,,,,,,2457508.37019,0.00079,0.00079,,,,,,,0.754,0.049,0.04,,,,237.4,6.5,6.5,1459.0,56.0,56.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KPS-1,165.16666668,64.963888919,13.0,,,,,,,,0.22,0.13,0.13,0.892,0.1,0.1,0.907,0.082,0.086,,,,,5165.0,90.0,90.0,,,2MASS11004017+6457504
Kepler-10 b,Confirmed,0.0145,0.0046,0.004,,,,0.132,0.003,0.004,0.837491,2e-06,2e-06,0.0172,0.00168,0.00081,0.06,0.06,0.16,85.1,4.3,3.4,9.7e-05,2011,2021-02-05,,,,,,,2454964.57513,5e-05,5e-05,2455034.08687,0.00018,0.00018,,,,,,,0.3,0.2,0.21,,,,3.3,1.0,0.8,2130.0,60.0,120.0,,,0.58,0.25,0.23,,Published in a refereed paper,Primary Transit,,,"2MASS J19024305+5014286 b, K00072.01, KIC 11904151 b, KOI-72 b, KOI-72.01, WISE J190243.03+501429.1  b",,Kepler-10,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.81,0.81,-0.15,0.04,0.04,0.91,0.021,0.021,1.06,0.01,0.01,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,"2MASS J19024305+5014286, KIC 11904151, KOI-72, WISE J190243.03+501429.1"
Kepler-10 c,Confirmed,0.02319,0.00374,0.00415,,,,0.2097,0.0036,0.008,45.2946,0.0008,0.0008,0.241,0.0019,0.0019,0.05,0.05,0.2,89.59,0.43,0.25,0.001391,2011,2021-02-05,,,,,,,,,,2455062.26648,0.0081,0.0081,,,,,,,,,,,,,1.41,0.23,0.25,584.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19024305+5014286 c, K00072.02, KIC 11904151 c, KOI-72 c, KOI-72.02, WISE J190243.03+501429.1  c",,Kepler-10,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.81,0.81,-0.15,0.04,0.04,0.91,0.021,0.021,1.06,0.01,0.01,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,"2MASS J19024305+5014286, KIC 11904151, KOI-72, WISE J190243.03+501429.1"
Kepler-101 b,Confirmed,0.16,0.01,0.02,,,,0.51,0.07,0.08,3.4876812,7e-06,7e-06,0.0474,0.0008,0.001,0.086,0.059,0.08,85.82,1.53,1.73,,2014,2021-02-05,231.0,90.0,32.0,,,,2455088.77995,0.00041,0.00041,,,,,,,,,,0.52,0.18,0.09,,,,19.4,1.8,1.8,1513.0,145.0,103.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18530131+4821188 b, K00046.01, KIC 10905239 b, KOI-46 b, KOI-46.01, WISE J185301.32+482118.9  b",,Kepler-101,283.255489,48.355228,,,12.403,12.112,12.011,953.44,15.5,15.5,0.33,0.07,0.07,1.17,0.05,0.07,1.56,0.2,0.2,G3 IV,5.9,-1.2,1.2,5667.0,50.0,50.0,,,"2MASS J18530131+4821188, KIC 10905239, KOI-46, WISE J185301.32+482118.9"
Kepler-101 c,Confirmed,0.01,,,,,,0.112,0.015,0.017,6.02976,7.5e-05,7.5e-05,0.0684,0.0014,0.0014,0.0,,,84.6,3.1,3.4,,2014,2021-02-05,90.0,,,,,,2454965.486,0.0088,0.0088,,,,,,,,,,0.75,0.36,0.13,,,,1.17,,,1413.0,210.0,238.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18530131+4821188 c, K00046.02, KIC 10905239 c, KOI-46 c, KOI-46.02, WISE J185301.32+482118.9  c",,Kepler-101,283.255489,48.355228,,,12.403,12.112,12.011,953.44,15.5,15.5,0.33,0.07,0.07,1.17,0.05,0.07,1.56,0.2,0.2,G3 IV,5.9,-1.2,1.2,5667.0,50.0,50.0,,,"2MASS J18530131+4821188, KIC 10905239, KOI-46, WISE J185301.32+482118.9"
Kepler-102 b,Confirmed,0.01353,0.01353,0.0,,,,0.042,0.002,0.002,5.28696,,,0.055,,,,,,,,,,2014,2021-04-12,,,,,,,2454968.8492,,,,,,,,,,,,0.06,0.06,0.06,,,,0.19,0.7,0.7,792.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-82.05, 2MASS J18455585+4712289 b, K00082.05, KIC 10187017 b, KOI-82 b, WISE J184555.80+471228.4  b",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 c,Confirmed,0.00944,0.00944,0.0,0.009,inf,nan,0.052,0.002,0.002,7.07142,,,0.067,,,,,,,,,,2014,2021-04-12,,,,,,,2454972.98486,,,,,,,,,,,,0.06,0.05,0.05,,,,-1.0,0.6,0.6,718.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KOI-82.04, 2MASS J18455585+4712289 c, K00082.04, KIC 10187017 c, KOI-82 c, WISE J184555.80+471228.4  c",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 e,Confirmed,0.028,0.006,0.006,,,,0.198,0.006,0.006,16.1457,,,0.117,0.003,0.003,0.0,0.0,0.4,89.56,0.64,0.44,,2013,2021-02-05,360.0,235.0,0.0,,,,2454967.75384,,,,,,,,,,,,0.3,0.03,0.03,,,,2.77,0.6,0.6,579.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-82.01, 2MASS J18455585+4712289 e, K00082.01, KIC 10187017 e, KOI-82 e, WISE J184555.80+471228.4  e",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-102 f,Confirmed,0.01636,0.01636,0.0,,,,0.079,0.003,0.003,27.4536,,,0.165,,,,,,,,,,2014,2021-04-12,,,,,,,2454978.02565,,,,,,,,,,,,0.57,0.03,0.03,,,,2.11,0.8,0.8,457.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-82.03, 2MASS J18455585+4712289 f, K00082.03, KIC 10187017 f, KOI-82 f, WISE J184555.80+471228.4  f",,Kepler-102,281.482749,47.208031,11.492,11.15,9.984,9.446,9.351,108.13,0.22,0.22,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4909.0,41.0,41.0,,,"KOI-82, KIC 10187017, 2MASS J18455585+4712289, WISE J184555.80+471228.4"
Kepler-103 b,Confirmed,0.031,0.027,0.027,,,,0.301,0.008,0.008,15.9654,,,0.133,0.0016,0.0039,0.17,0.12,0.29,87.914,0.07,0.07,,2014,2021-02-05,313.0,82.0,130.0,,,,2454975.17614,,,2455677.65243,0.00028,0.00028,,,,,,,0.72,0.01,0.01,,,,2.32,2.1,2.1,,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J19155629+4003522 b, K00108.01, KIC 4914423 b, KOI-108 b, KOI-108.01, WISE J191556.29+400352.2  b",,Kepler-103,288.984555,40.064521,12.287,12.132,11.193,10.941,10.873,501.93,5.95,5.95,0.07,0.11,0.11,1.09,0.07,0.07,1.44,0.04,0.04,,5.7,0.62,0.69,5845.0,88.0,88.0,,,"KOI-108, KIC 4914423, 2MASS J19155629+4003522, WISE J191556.29+400352.2"
Kepler-103 c,Confirmed,0.114,0.079,0.079,,,,0.459,0.012,0.012,179.612,,,0.6679,0.008,0.019,0.1,0.068,0.092,89.704,0.055,0.12,,2014,2021-02-05,344.0,60.0,80.0,,,,2455128.32581,,,2455667.15973,0.00044,0.00044,,,,,,,0.44,0.02,0.02,,,,3.85,2.7,2.7,,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,,"2MASS J19155629+4003522 c, K00108.02, KIC 4914423 c, KOI-108 c, KOI-108.02, WISE J191556.29+400352.2  c",,Kepler-103,288.984555,40.064521,12.287,12.132,11.193,10.941,10.873,501.93,5.95,5.95,0.07,0.11,0.11,1.09,0.07,0.07,1.44,0.04,0.04,,5.7,0.62,0.69,5845.0,88.0,88.0,,,"KOI-108, KIC 4914423, 2MASS J19155629+4003522, WISE J191556.29+400352.2"
Kepler-105 b,Confirmed,0.016,0.0129,0.0198,,,,0.429,0.136,0.136,5.4122,2e-05,2e-05,0.066,0.003,0.003,0.47,0.47,0.05,85.94,3.88,1.87,,2013,2021-02-05,272.16,272.16,16.04,,,,2454966.1424,,,2454966.1424,,,,,,,,,0.64,0.17,0.26,,,,,,,1418.0,228.0,228.0,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,"KIC 9579641 b, K00115.01, 2MASS J19113295+4616344 b, KOI-115 b, KOI-115.01, WISE J191132.93+461634.0  b",,Kepler-105,287.887325,46.276237,,,11.811,11.555,11.503,465.33,5.56,5.56,-0.19,0.1,0.1,0.96,0.05,0.05,0.89,0.04,0.04,,,,,5827.0,94.0,94.0,,,"KOI-115, 2MASS J19113295+4616344, KIC 9579641, WISE J191132.93+461634.0"
Kepler-105 c,Confirmed,0.01447,0.00267,0.00289,,,,0.117,0.006,0.006,7.1262,1.7e-05,1.7e-05,0.072,,,,,,,,,,2014,2021-02-05,,,,,,,2456464.5992,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,TTV,Primary Transit,"2MASS J19113295+4616344 c, K00115.02, KIC 9579641 c, KOI-115 c, KOI-115.02, WISE J191132.93+461634.0  c",,Kepler-105,287.887325,46.276237,,,11.811,11.555,11.503,465.33,5.56,5.56,-0.19,0.1,0.1,0.96,0.05,0.05,0.89,0.04,0.04,,,,,5827.0,94.0,94.0,,,"KOI-115, 2MASS J19113295+4616344, KIC 9579641, WISE J191132.93+461634.0"
Kepler-107 b,Confirmed,0.01104,0.00478,0.00478,,,,0.137,0.002,0.002,3.1800218,2.9e-06,2.9e-06,0.04544,0.00035,0.00035,0.0,,,89.05,0.67,0.67,,2014,2021-02-05,,,,,,,2455701.08414,0.00037,0.00037,2455701.08414,0.00037,0.00037,,,,,,,0.11,0.08,0.08,,,,1.32,0.57,0.57,1593.0,19.0,19.0,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.03, 2MASS J19480677+4812309 b, K00117.03, KIC 10875245 b, KOI-117 b, WISE J194806.77+481230.9  b",,Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,5.5,5.5,0.321,0.065,0.065,1.24,0.03,0.03,1.45,0.01,0.01,,4.29,-0.56,0.7,5854.0,61.0,61.0,,,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-107 c,Confirmed,0.02954,0.00557,0.00557,,,,0.142,0.002,0.002,4.901452,1e-05,1e-05,0.06064,0.00047,0.00047,0.0,0.0,0.0,89.49,0.44,0.34,,2014,2021-02-05,,,,,,,2455697.01829,0.00079,0.00079,2455697.01829,0.00079,0.00079,,,,,,,0.08,0.05,0.07,,,,3.06,0.57,0.57,1379.0,17.0,17.0,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.02, 2MASS J19480677+4812309 c, K00117.02, KIC 10875245 c, KOI-117 c, WISE J194806.77+481230.9  c",,Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,5.5,5.5,0.321,0.065,0.065,1.24,0.03,0.03,1.45,0.01,0.01,,4.29,-0.56,0.7,5854.0,61.0,61.0,,,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-107 d,Confirmed,0.01196,,,,,,0.077,0.005,0.005,7.95839,0.00012,0.00012,0.08377,0.00065,0.00065,0.0,,,87.55,0.48,0.64,,2014,2021-02-05,,,,,,,2455702.9547,0.006,0.006,,,,,,,,,,0.53,0.14,0.1,,,,1.06,0.0,1.06,1173.0,14.0,14.0,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.04, 2MASS J19480677+4812309 d, K00117.04, KIC 10875245 d, KOI-117 d, WISE J194806.77+481230.9  d",,Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,5.5,5.5,0.321,0.065,0.065,1.24,0.03,0.03,1.45,0.01,0.01,,4.29,-0.56,0.7,5854.0,61.0,61.0,,,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-107 e,Confirmed,0.02706,0.01133,0.01133,,,,0.259,0.003,0.003,14.749143,1.9e-05,1.9e-05,0.12639,0.00099,0.00099,0.0,,,89.67,0.22,0.22,,2014,2021-02-05,,,,,,,2455694.4855,0.00046,0.00046,2455694.4855,0.00046,0.00046,,,,,,,0.11,0.07,0.07,,,,1.95,0.82,0.82,955.0,12.0,12.0,,,,,,,Announced on a website,Primary Transit,Radial Velocity,Primary Transit,"KOI-117.01, 2MASS J19480677+4812309 e, K00117.01, KIC 10875245 e, KOI-117 e, WISE J194806.77+481230.9  e",,Kepler-107,297.028248,48.208611,,,11.392,11.114,11.06,525.5,5.5,5.5,0.321,0.065,0.065,1.24,0.03,0.03,1.45,0.01,0.01,,4.29,-0.56,0.7,5854.0,61.0,61.0,,,"2MASS J19480677+4812309, KIC 10875245, KOI-117, WISE J194806.77+481230.9"
Kepler-11 b,Confirmed,0.006,0.003,0.004,,,,0.161,0.004,0.003,10.3039,0.001,0.0006,0.091,0.003,0.003,0.045,0.042,0.068,89.64,0.18,0.36,,2010,2021-02-05,,,,,,,2455589.7378,0.0047,0.0026,2454971.5052,0.0077,0.0077,,,,,,,0.116,0.116,0.053,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 b, K00157.06, KIC 6541920 b, KOI-157 b, KOI-157.06, WISE J194827.62+415432.9  b",,Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,6.57,6.57,0.0,0.1,0.1,0.96,0.03,0.03,1.06,0.02,0.02,G,8.5,-1.4,1.1,5663.0,66.0,55.0,,,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 c,Confirmed,0.009,0.005,0.009,,,,0.256,0.005,0.004,13.0241,0.0008,0.0013,0.107,0.001,0.001,0.026,0.013,0.063,89.59,0.16,0.41,,2010,2021-02-05,,,,,,,2455583.3494,0.0019,0.0014,2454971.1748,0.0031,0.0031,,,,,,,0.156,0.156,0.059,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 c, K00157.01, KIC 6541920 c, KOI-157 c, KOI-157.01, WISE J194827.62+415432.9  c",,Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,6.57,6.57,0.0,0.1,0.1,0.96,0.03,0.03,1.06,0.02,0.02,G,8.5,-1.4,1.1,5663.0,66.0,55.0,,,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 d,Confirmed,0.023,0.005,0.003,,,,0.278,0.006,0.005,22.6845,0.0009,0.0009,0.155,0.001,0.001,0.004,0.002,0.007,89.67,0.16,0.13,,2010,2021-02-05,,,,,,,2455594.0069,0.0014,0.0022,2454981.455,0.0044,0.0044,,,,,,,0.181,0.084,0.074,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 d, K00157.02, KIC 6541920 d, KOI-157 d, KOI-157.02, WISE J194827.62+415432.9  d",,Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,6.57,6.57,0.0,0.1,0.1,0.96,0.03,0.03,1.06,0.02,0.02,G,8.5,-1.4,1.1,5663.0,66.0,55.0,,,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 e,Confirmed,0.025,0.007,0.005,,,,0.374,0.008,0.006,31.9996,0.0012,0.0008,0.195,0.002,0.002,0.012,0.006,0.006,88.89,0.02,0.02,,2010,2021-02-05,,,,,,,2455595.0755,0.0009,0.0015,2454987.159,0.0037,0.0037,,,,,,,0.763,0.008,0.008,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 e, K00157.03, KIC 6541920 e, KOI-157 e, KOI-157.03, WISE J194827.62+415432.9  e",,Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,6.57,6.57,0.0,0.1,0.1,0.96,0.03,0.03,1.06,0.02,0.02,G,8.5,-1.4,1.1,5663.0,66.0,55.0,,,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 f,Confirmed,0.006,0.003,0.003,,,,0.222,0.006,0.004,46.6888,0.0032,0.0027,0.25,0.009,0.009,0.013,0.009,0.011,89.47,0.04,0.04,,2010,2021-02-05,,,,,,,2455618.271,0.0038,0.0041,2454964.6487,0.0059,0.0059,,,,,,,0.463,0.032,0.03,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 f, K00157.04, KIC 6541920 f, KOI-157 f, KOI-157.04, WISE J194827.62+415432.9  f",,Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,6.57,6.57,0.0,0.1,0.1,0.96,0.03,0.03,1.06,0.02,0.02,G,8.5,-1.4,1.1,5663.0,66.0,55.0,,,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-11 g,Confirmed,0.079,,,,,,0.297,0.007,0.005,118.3807,0.0006,0.001,0.466,0.004,0.004,0.15,,,89.87,0.06,0.05,,2010,2021-02-05,,,,,,,2455593.8021,0.0021,0.003,2455120.2901,0.0022,0.0022,,,,,,,0.217,0.087,0.092,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19482762+4154328 g, K00157.05, KIC 6541920 g, KOI-157 g, KOI-157.05, WISE J194827.62+415432.9  g",,Kepler-11,297.115123,41.909138,13.7,,12.548,12.237,,658.59,6.57,6.57,0.0,0.1,0.1,0.96,0.03,0.03,1.06,0.02,0.02,G,8.5,-1.4,1.1,5663.0,66.0,55.0,,,"2MASS J19482762+4154328, KIC 6541920, KOI-157, WISE J194827.62+415432.9"
Kepler-114 b,Confirmed,0.022,0.01,0.01,,,,0.112,0.012,0.012,5.188549,1.2e-05,1.2e-05,0.053,,,,,,87.66,,,,2014,2021-02-05,,,,,,,2454978.3632,0.0014,0.0014,2454978.3635,,,,,,,,,0.69,0.31,0.31,,,,,,,722.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19362914+4820582 b, K00156.02, KIC 10925104 b, KOI-156 b, KOI-156.02, WISE J193629.11+482058.9  b",,Kepler-114,294.121421,48.349525,13.7,,12.035,11.469,,261.49,1.32,1.32,-0.003,,,0.71,0.2,0.15,0.67,0.04,0.04,M0 V,,,,4605.0,100.0,100.0,,,"2MASS J19362914+4820582, KIC 10925104, KOI-156, WISE J193629.11+482058.9"
Kepler-114 c,Confirmed,0.009,0.002,0.002,,,,0.143,0.016,0.016,8.041,,,0.07,,,,,,88.24,,,,2013,2021-02-05,,,,,,,,,,2454976.039,0.0015,0.0015,,,,,,,,,,,,,,,,623.0,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,,"2MASS J19362914+4820582 c, K00156.01, KIC 10925104 c, KOI-156 c, KOI-156.01, WISE J193629.11+482058.9  c",,Kepler-114,294.121421,48.349525,13.7,,12.035,11.469,,261.49,1.32,1.32,-0.003,,,0.71,0.2,0.15,0.67,0.04,0.04,M0 V,,,,4605.0,100.0,100.0,,,"2MASS J19362914+4820582, KIC 10925104, KOI-156, WISE J193629.11+482058.9"
Kepler-114 d,Confirmed,0.012,0.005,0.005,,,,0.226,0.007,0.007,11.776,,,0.09,,,,,,88.24,,,,2013,2021-02-05,,,,,,,,,,2454975.70441,0.00074,0.00074,,,,,,,,,,,,,,,,549.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19362914+4820582 d, K00156.03, KIC 10925104 d, KOI-156 d, KOI-156.03, WISE J193629.11+482058.9  d",,Kepler-114,294.121421,48.349525,13.7,,12.035,11.469,,261.49,1.32,1.32,-0.003,,,0.71,0.2,0.15,0.67,0.04,0.04,M0 V,,,,4605.0,100.0,100.0,,,"2MASS J19362914+4820582, KIC 10925104, KOI-156, WISE J193629.11+482058.9"
Kepler-117 b,Confirmed,0.094,0.033,0.033,,,,0.719,0.024,0.024,18.7959228,7.5e-06,7.5e-06,0.1445,0.0014,0.0047,0.0493,0.0062,0.0062,88.74,0.12,0.12,,2014,2021-02-05,254.3,4.1,4.1,,,,2454978.82204,0.00035,0.00035,,,,,,,,,,0.446,0.032,0.032,,,,6.5,2.1,2.1,984.0,18.0,18.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 b, K00209.02, KIC 10723750 b, KOI-209 b, KOI-209.02, WISE J191510.33+480224.6  b",,Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,50.0,50.0,-0.04,0.1,0.1,1.13,0.02,0.13,1.61,0.05,0.05,F8 V,5.3,-1.4,1.4,6150.0,110.0,110.0,,,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6"
Kepler-117 c,Confirmed,1.84,0.18,0.18,,,,1.101,0.035,0.035,50.790391,1.4e-05,1.4e-05,0.2804,0.0028,0.0092,0.0323,0.0033,0.0033,89.64,0.1,0.1,,2014,2021-02-05,305.0,7.5,7.5,,,,2454968.63205,0.00025,0.00025,,,,,,,,,,0.268,0.087,0.036,,,,90.4,7.0,7.0,704.0,15.0,15.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19151032+4802248 c, K00209.01, KIC 10723750 c, KOI-209 c, KOI-209.01, WISE J191510.33+480224.6  c",,Kepler-117,288.793037,48.040234,,,13.324,12.988,13.011,1430.0,50.0,50.0,-0.04,0.1,0.1,1.13,0.02,0.13,1.61,0.05,0.05,F8 V,5.3,-1.4,1.4,6150.0,110.0,110.0,,,"2MASS J19151032+4802248, KIC 10723750, KOI-209, WISE J191510.33+480224.6"
Kepler-12 b,Confirmed,0.432,0.051,0.053,,,,1.754,0.036,0.031,4.4379629,6e-07,6e-07,0.0553,0.0012,0.001,0.01,,,88.796,0.074,0.088,,2011,2021-02-05,182.0,98.0,98.0,,,,2455004.00915,1e-05,1e-05,2455004.00835,2e-05,2e-05,,,,,,,0.168,0.012,0.01,,,,48.2,4.3,4.4,1480.0,30.0,30.0,,,0.09,0.02,0.02,,Published in a refereed paper,Primary Transit,,,"2MASS J19045842+5002253 b, GSC 03549-00844 b, K00020.01, KIC 11804465 b, KOI-20 b, KOI-20.01, WISE J190458.41+500225.3  b",,Kepler-12,286.243425,50.040382,13.4,,12.406,12.107,,904.4,10.19,10.19,0.07,0.04,0.04,1.17,0.05,0.05,1.48,0.03,0.03,G0,4.0,0.4,0.4,5947.0,100.0,100.0,,,"KOI-20, KIC 11804465, 2MASS J19045842+5002253, GSC 03549-00844, WISE J190458.41+500225.3"
